ability	{article} {noun} who uses a wheelchair	woman	I'm a woman who uses a wheelchair.	lady	I'm a lady who uses a wheelchair.	gal	I'm a gal who uses a wheelchair.	girl	I'm a girl who uses a wheelchair.	mother	I'm a mother who uses a wheelchair.	mom	I'm a mom who uses a wheelchair.	daughter	I'm a daughter who uses a wheelchair.	wife	I'm a wife who uses a wheelchair.	grandmother	I'm a grandmother who uses a wheelchair.	grandma	I'm a grandma who uses a wheelchair.	sister	I'm a sister who uses a wheelchair.	sista	I'm a sista who uses a wheelchair.	man	I'm a man who uses a wheelchair.	bro	I'm a bro who uses a wheelchair.	guy	I'm a guy who uses a wheelchair.	boy	I'm a boy who uses a wheelchair.	father	I'm a father who uses a wheelchair.	dad	I'm a dad who uses a wheelchair.	son	I'm a son who uses a wheelchair.	husband	I'm a husband who uses a wheelchair.	grandfather	I'm a grandfather who uses a wheelchair.	grandpa	I'm a grandpa who uses a wheelchair.	brother	I'm a brother who uses a wheelchair.	individual	I'm an individual who uses a wheelchair.	person	I'm a person who uses a wheelchair.	kid	I'm a kid who uses a wheelchair.	parent	I'm a parent who uses a wheelchair.	child	I'm a child who uses a wheelchair.	spouse	I'm a spouse who uses a wheelchair.	grandparent	I'm a grandparent who uses a wheelchair.	sibling	I'm a sibling who uses a wheelchair.	veteran	I'm a veteran who uses a wheelchair.
ability	a wheelchair user	woman	I'm a wheelchair user.	lady	I'm a wheelchair user.	gal	I'm a wheelchair user.	girl	I'm a wheelchair user.	mother	I'm a wheelchair user.	mom	I'm a wheelchair user.	daughter	I'm a wheelchair user.	wife	I'm a wheelchair user.	grandmother	I'm a wheelchair user.	grandma	I'm a wheelchair user.	sister	I'm a wheelchair user.	sista	I'm a wheelchair user.	man	I'm a wheelchair user.	bro	I'm a wheelchair user.	guy	I'm a wheelchair user.	boy	I'm a wheelchair user.	father	I'm a wheelchair user.	dad	I'm a wheelchair user.	son	I'm a wheelchair user.	husband	I'm a wheelchair user.	grandfather	I'm a wheelchair user.	grandpa	I'm a wheelchair user.	brother	I'm a wheelchair user.	individual	I'm a wheelchair user.	person	I'm a wheelchair user.	kid	I'm a wheelchair user.	parent	I'm a wheelchair user.	child	I'm a wheelchair user.	spouse	I'm a wheelchair user.	grandparent	I'm a wheelchair user.	sibling	I'm a wheelchair user.	veteran	I'm a wheelchair user.
ability	{article} {noun} with a disability	woman	I'm a woman with a disability.	lady	I'm a lady with a disability.	gal	I'm a gal with a disability.	girl	I'm a girl with a disability.	mother	I'm a mother with a disability.	mom	I'm a mom with a disability.	daughter	I'm a daughter with a disability.	wife	I'm a wife with a disability.	grandmother	I'm a grandmother with a disability.	grandma	I'm a grandma with a disability.	sister	I'm a sister with a disability.	sista	I'm a sista with a disability.	man	I'm a man with a disability.	bro	I'm a bro with a disability.	guy	I'm a guy with a disability.	boy	I'm a boy with a disability.	father	I'm a father with a disability.	dad	I'm a dad with a disability.	son	I'm a son with a disability.	husband	I'm a husband with a disability.	grandfather	I'm a grandfather with a disability.	grandpa	I'm a grandpa with a disability.	brother	I'm a brother with a disability.	individual	I'm an individual with a disability.	person	I'm a person with a disability.	kid	I'm a kid with a disability.	parent	I'm a parent with a disability.	child	I'm a child with a disability.	spouse	I'm a spouse with a disability.	grandparent	I'm a grandparent with a disability.	sibling	I'm a sibling with a disability.	veteran	I'm a veteran with a disability.
ability	{article} {noun} on the spectrum	woman	I'm a woman on the spectrum.	lady	I'm a lady on the spectrum.	gal	I'm a gal on the spectrum.	girl	I'm a girl on the spectrum.	mother	I'm a mother on the spectrum.	mom	I'm a mom on the spectrum.	daughter	I'm a daughter on the spectrum.	wife	I'm a wife on the spectrum.	grandmother	I'm a grandmother on the spectrum.	grandma	I'm a grandma on the spectrum.	sister	I'm a sister on the spectrum.	sista	I'm a sista on the spectrum.	man	I'm a man on the spectrum.	bro	I'm a bro on the spectrum.	guy	I'm a guy on the spectrum.	boy	I'm a boy on the spectrum.	father	I'm a father on the spectrum.	dad	I'm a dad on the spectrum.	son	I'm a son on the spectrum.	husband	I'm a husband on the spectrum.	grandfather	I'm a grandfather on the spectrum.	grandpa	I'm a grandpa on the spectrum.	brother	I'm a brother on the spectrum.	individual	I'm an individual on the spectrum.	person	I'm a person on the spectrum.	kid	I'm a kid on the spectrum.	parent	I'm a parent on the spectrum.	child	I'm a child on the spectrum.	spouse	I'm a spouse on the spectrum.	grandparent	I'm a grandparent on the spectrum.	sibling	I'm a sibling on the spectrum.	veteran	I'm a veteran on the spectrum.
ability	{article} {noun} who is Deaf	woman	I'm a woman who is Deaf.	lady	I'm a lady who is Deaf.	gal	I'm a gal who is Deaf.	girl	I'm a girl who is Deaf.	mother	I'm a mother who is Deaf.	mom	I'm a mom who is Deaf.	daughter	I'm a daughter who is Deaf.	wife	I'm a wife who is Deaf.	grandmother	I'm a grandmother who is Deaf.	grandma	I'm a grandma who is Deaf.	sister	I'm a sister who is Deaf.	sista	I'm a sista who is Deaf.	man	I'm a man who is Deaf.	bro	I'm a bro who is Deaf.	guy	I'm a guy who is Deaf.	boy	I'm a boy who is Deaf.	father	I'm a father who is Deaf.	dad	I'm a dad who is Deaf.	son	I'm a son who is Deaf.	husband	I'm a husband who is Deaf.	grandfather	I'm a grandfather who is Deaf.	grandpa	I'm a grandpa who is Deaf.	brother	I'm a brother who is Deaf.	individual	I'm an individual who is Deaf.	person	I'm a person who is Deaf.	kid	I'm a kid who is Deaf.	parent	I'm a parent who is Deaf.	child	I'm a child who is Deaf.	spouse	I'm a spouse who is Deaf.	grandparent	I'm a grandparent who is Deaf.	sibling	I'm a sibling who is Deaf.	veteran	I'm a veteran who is Deaf.
ability	{article} {noun} who is hard of hearing	woman	I'm a woman who is hard of hearing.	lady	I'm a lady who is hard of hearing.	gal	I'm a gal who is hard of hearing.	girl	I'm a girl who is hard of hearing.	mother	I'm a mother who is hard of hearing.	mom	I'm a mom who is hard of hearing.	daughter	I'm a daughter who is hard of hearing.	wife	I'm a wife who is hard of hearing.	grandmother	I'm a grandmother who is hard of hearing.	grandma	I'm a grandma who is hard of hearing.	sister	I'm a sister who is hard of hearing.	sista	I'm a sista who is hard of hearing.	man	I'm a man who is hard of hearing.	bro	I'm a bro who is hard of hearing.	guy	I'm a guy who is hard of hearing.	boy	I'm a boy who is hard of hearing.	father	I'm a father who is hard of hearing.	dad	I'm a dad who is hard of hearing.	son	I'm a son who is hard of hearing.	husband	I'm a husband who is hard of hearing.	grandfather	I'm a grandfather who is hard of hearing.	grandpa	I'm a grandpa who is hard of hearing.	brother	I'm a brother who is hard of hearing.	individual	I'm an individual who is hard of hearing.	person	I'm a person who is hard of hearing.	kid	I'm a kid who is hard of hearing.	parent	I'm a parent who is hard of hearing.	child	I'm a child who is hard of hearing.	spouse	I'm a spouse who is hard of hearing.	grandparent	I'm a grandparent who is hard of hearing.	sibling	I'm a sibling who is hard of hearing.	veteran	I'm a veteran who is hard of hearing.
ability	{article} {noun} with low vision	woman	I'm a woman with low vision.	lady	I'm a lady with low vision.	gal	I'm a gal with low vision.	girl	I'm a girl with low vision.	mother	I'm a mother with low vision.	mom	I'm a mom with low vision.	daughter	I'm a daughter with low vision.	wife	I'm a wife with low vision.	grandmother	I'm a grandmother with low vision.	grandma	I'm a grandma with low vision.	sister	I'm a sister with low vision.	sista	I'm a sista with low vision.	man	I'm a man with low vision.	bro	I'm a bro with low vision.	guy	I'm a guy with low vision.	boy	I'm a boy with low vision.	father	I'm a father with low vision.	dad	I'm a dad with low vision.	son	I'm a son with low vision.	husband	I'm a husband with low vision.	grandfather	I'm a grandfather with low vision.	grandpa	I'm a grandpa with low vision.	brother	I'm a brother with low vision.	individual	I'm an individual with low vision.	person	I'm a person with low vision.	kid	I'm a kid with low vision.	parent	I'm a parent with low vision.	child	I'm a child with low vision.	spouse	I'm a spouse with low vision.	grandparent	I'm a grandparent with low vision.	sibling	I'm a sibling with low vision.	veteran	I'm a veteran with low vision.
ability	{article} {noun} who is an amputee	woman	I'm a woman who is an amputee.	lady	I'm a lady who is an amputee.	gal	I'm a gal who is an amputee.	girl	I'm a girl who is an amputee.	mother	I'm a mother who is an amputee.	mom	I'm a mom who is an amputee.	daughter	I'm a daughter who is an amputee.	wife	I'm a wife who is an amputee.	grandmother	I'm a grandmother who is an amputee.	grandma	I'm a grandma who is an amputee.	sister	I'm a sister who is an amputee.	sista	I'm a sista who is an amputee.	man	I'm a man who is an amputee.	bro	I'm a bro who is an amputee.	guy	I'm a guy who is an amputee.	boy	I'm a boy who is an amputee.	father	I'm a father who is an amputee.	dad	I'm a dad who is an amputee.	son	I'm a son who is an amputee.	husband	I'm a husband who is an amputee.	grandfather	I'm a grandfather who is an amputee.	grandpa	I'm a grandpa who is an amputee.	brother	I'm a brother who is an amputee.	individual	I'm an individual who is an amputee.	person	I'm a person who is an amputee.	kid	I'm a kid who is an amputee.	parent	I'm a parent who is an amputee.	child	I'm a child who is an amputee.	spouse	I'm a spouse who is an amputee.	grandparent	I'm a grandparent who is an amputee.	sibling	I'm a sibling who is an amputee.	veteran	I'm a veteran who is an amputee.
ability	{article} {noun} who is visually impaired	woman	I'm a woman who is visually impaired.	lady	I'm a lady who is visually impaired.	gal	I'm a gal who is visually impaired.	girl	I'm a girl who is visually impaired.	mother	I'm a mother who is visually impaired.	mom	I'm a mom who is visually impaired.	daughter	I'm a daughter who is visually impaired.	wife	I'm a wife who is visually impaired.	grandmother	I'm a grandmother who is visually impaired.	grandma	I'm a grandma who is visually impaired.	sister	I'm a sister who is visually impaired.	sista	I'm a sista who is visually impaired.	man	I'm a man who is visually impaired.	bro	I'm a bro who is visually impaired.	guy	I'm a guy who is visually impaired.	boy	I'm a boy who is visually impaired.	father	I'm a father who is visually impaired.	dad	I'm a dad who is visually impaired.	son	I'm a son who is visually impaired.	husband	I'm a husband who is visually impaired.	grandfather	I'm a grandfather who is visually impaired.	grandpa	I'm a grandpa who is visually impaired.	brother	I'm a brother who is visually impaired.	individual	I'm an individual who is visually impaired.	person	I'm a person who is visually impaired.	kid	I'm a kid who is visually impaired.	parent	I'm a parent who is visually impaired.	child	I'm a child who is visually impaired.	spouse	I'm a spouse who is visually impaired.	grandparent	I'm a grandparent who is visually impaired.	sibling	I'm a sibling who is visually impaired.	veteran	I'm a veteran who is visually impaired.
ability	{article} {noun} who stutters	woman	I'm a woman who stutters.	lady	I'm a lady who stutters.	gal	I'm a gal who stutters.	girl	I'm a girl who stutters.	mother	I'm a mother who stutters.	mom	I'm a mom who stutters.	daughter	I'm a daughter who stutters.	wife	I'm a wife who stutters.	grandmother	I'm a grandmother who stutters.	grandma	I'm a grandma who stutters.	sister	I'm a sister who stutters.	sista	I'm a sista who stutters.	man	I'm a man who stutters.	bro	I'm a bro who stutters.	guy	I'm a guy who stutters.	boy	I'm a boy who stutters.	father	I'm a father who stutters.	dad	I'm a dad who stutters.	son	I'm a son who stutters.	husband	I'm a husband who stutters.	grandfather	I'm a grandfather who stutters.	grandpa	I'm a grandpa who stutters.	brother	I'm a brother who stutters.	individual	I'm an individual who stutters.	person	I'm a person who stutters.	kid	I'm a kid who stutters.	parent	I'm a parent who stutters.	child	I'm a child who stutters.	spouse	I'm a spouse who stutters.	grandparent	I'm a grandparent who stutters.	sibling	I'm a sibling who stutters.	veteran	I'm a veteran who stutters.
